,Unnamed: 0,title,publishers,identifiers,description,covers,last_modified,latest_revision,key,authors,ocaid,publish_places,languages,pagination,classifications,source_records,notes,number_of_pages,isbn_13,created,edition_name,publish_date,oclc_numbers,works,type,revision,ia_box_id,publish_country,by_statement,series,subjects,isbn,ISBN,url,req_title
0,0,A Fine Balance,['Vintage International'],"{'alibris_id': ['9781400030651'], 'google': ['7a7YobMkPVkC'], 'paperback_swap': ['140003065X'], 'amazon': ['140003065X'], 'librarything': ['4031'], 'goodreads': ['43613135']}","{'type': '/type/text', 'value': 'With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India. The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers - a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village - will be thrust together, forced to share one cramped apartment and an uncertain future. \r\n\r\nAs the characters move from distrust to friendship and from friendship to love, A Fine Balance creates an enduring panorama of the human spirit in an inhuman state.\r\n\r\n~from the back cover'}",[8348361],"{'type': '/type/datetime', 'value': '2019-01-19T09:19:40.543115'}",10,/books/OL8362636M,[{'key': '/authors/OL456240A'}],finebalanceoprah00rohi,"['New York, USA']",[{'key': '/languages/eng'}],603p.,{},,,603.0,['9781400030651'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",,2001,['824653526'],[{'key': '/works/OL2980902W'}],{'key': '/type/edition'},10,,,,"[""Oprah's Book Club (44)""]","['Fiction', 'Fiction - General', 'Literary', 'Fiction / Literary', 'Reading Group Guide']",140003065X,140003065X,http://images.amazon.com/images/P/140003065X.01.LZZZZZZZ.jpg,A Fine Balance
1,1,A Prayer for Owen Meany,['Ballantine Books'],"{'paperback_swap': ['0345361792'], 'amazon': ['0345361792'], 'librarything': ['7263'], 'goodreads': ['43682750']}","Owen Meany, the only child of a New Hampshire granite quarrier, believes he is God's instrument; he is.

This is John Irving's most comic novel; yet Owen Meany is Mr. Irving's most heartbreaking character.
(back cover)",[7077443],"{'type': '/type/datetime', 'value': '2020-08-27T16:20:03.446345'}",12,/books/OL22354629M,[{'key': '/authors/OL2675188A'}],prayerforowenmea00irvi,"['New York, USA']",[{'key': '/languages/eng'}],617 p. ;,{},"['ia:prayerforowenmea00irvi', 'bwb:9780345361790']",,617.0,['9780345361790'],"{'type': '/type/datetime', 'value': '2008-11-11T11:44:57.119373'}",1st mass market ed.,1990 05,['844867445'],[{'key': '/works/OL14858723W'}],{'key': '/type/edition'},12,['IA104516'],nyu,John Irving.,,['Friendship -- Fiction.'],0345361792,0345361792,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg,A Prayer for Owen Meany
2,2,A Wrinkle in Time,"['Farrar, Straus, and Giroux']","{'librarything': ['4044'], 'goodreads': ['317521']}","Meg Murry and her friends become involved with unearthly strangers and a search for Meg's father, who has disappeared while engaged in secret work for the government.","[8740870, 7899723]","{'type': '/type/datetime', 'value': '2019-07-12T07:51:39.870489'}",21,/books/OL1961285M,[{'key': '/authors/OL28188A'}],wrinkleintime00lengrich,['New York'],[{'key': '/languages/eng'}],203 p. ;,{},"['marc:marc_records_scriblio_net/part21.dat:153855835:895', 'marc:marc_loc_updates/v35.i20.records.utf8:3255012:909', 'marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:29070944:2023', 'marc:marc_ithaca_college/ic_marc.mrc:189072447:741', 'ia:wrinkleintime00lengrich', 'ia:wrinkleintime000leng', 'ia:wrinkleintime200leng']",,203.0,,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",,1962,,[{'key': '/works/OL41495W'}],{'key': '/type/edition'},21,['IA142209'],nyu,Madeleine L'Engle.,,['Science fiction'],0440498058,0440498058,http://images.amazon.com/images/P/0440498058.01.LZZZZZZZ.jpg,A Wrinkle In Time
3,3,The Diary of a Young Girl,['Bantam Books'],"{'amazon': ['0553296981'], 'google': ['_GmDPwAACAAJ'], 'librarything': ['3032251'], 'goodreads': ['51285627']}","{'type': '/type/text', 'value': 'Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit.\r\n\r\nIn 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short.\r\n--back cover'}","[8583953, 6383971]","{'type': '/type/datetime', 'value': '2020-05-28T10:26:28.375079'}",11,/books/OL22946868M,[{'key': '/authors/OL446842A'}],annefrankdiaryof00fran,"['New York, USA']",[{'key': '/languages/eng'}],"xiv, 283 p. ;",,['ia:annefrankdiaryof00fran'],"{'type': '/type/text', 'value': 'US/CAN\r\nOriginally published: New York : Doubleday, 1967.'}",283.0,['9780553296983'],"{'type': '/type/datetime', 'value': '2009-02-12T14:56:36.494522'}",Bantam edition (60),1993-07,"['866896683', '1140461080', '1102580115', '1010962583', '1101087031']",[{'key': '/works/OL266178W'}],{'key': '/type/edition'},11,['IA107724'],nyu,Anne Frank ; translated from the Dutch by B.M. Mooyaart-Doubleday ; with an introduction by Eleanor Roosevelt.,,"['Frank, Anne, -- 1929-1945 -- Diaries.', 'Holocaust, Jewish (1939-1945) -- Netherlands -- Amsterdam -- Personal narratives.', 'Jews -- Persecutions -- Netherlands -- Amsterdam.', 'Jews -- Netherlands -- Amsterdam -- Diaries.', 'Jews -- Amsterdam (Netherlands) -- Biography.', 'Holocaust, Jewish (1939-1945)', 'Jews -- Persecutions.', 'Amsterdam (Netherlands) -- Ethnic relations.', 'Amsterdam (Netherlands) -- Race relations.']",0553296981,0553296981,http://images.amazon.com/images/P/0553296981.01.LZZZZZZZ.jpg,Anne Frank: The Diary of a Young Girl
4,6,Bridge to Terabithia,['HarperTrophy'],"{'librarything': ['4131'], 'goodreads': ['164539']}","{'type': '/type/text', 'value': 'The life of a ten-year-old boy in rural Virginia expands when he becomes friends with a newcomer who subsequently meets an untimely death trying to reach their hideaway, Terabithia, during a storm.'}",[6449348],"{'type': '/type/datetime', 'value': '2014-04-06T05:12:51.131683'}",7,/books/OL23385189M,[{'key': '/authors/OL26242A'}],bridgetoterabith00pate_663,['New York'],[{'key': '/languages/eng'}],163 p. :,,['marc:marc_ithaca_college/ic_marc.mrc:222663561:912'],"{'type': '/type/text', 'value': 'Newbery medal book.'}",163.0,['9780064401845'],"{'type': '/type/datetime', 'value': '2009-06-10T03:03:38.565570'}",,2003,,[{'key': '/works/OL27125W'}],{'key': '/type/edition'},7,,nyu,Katherine Paterson ; illustrated by Donna Diamond.,,"['Friendship -- Juvenile fiction', 'Death -- Juvenile fiction']",0064401847,0064401847,http://images.amazon.com/images/P/0064401847.01.LZZZZZZZ.jpg,Bridge to Terabithia
5,7,Bridget Jones's Diary,['Penguin Books'],"{'alibris_id': ['9780141000190'], 'google': ['LtNSdRFFRbAC'], 'amazon': ['0141000198'], 'goodreads': ['46017301']}","Meet Bridget Jones—a 30-something Singleton who is certain she would have all the answers if she could:
a. lose 7 pounds
b. stop smoking
c. develop Inner Poise

""123 lbs. (how is it possible to put on 4 pounds in the middle of the night? Could flesh have somehow solidified becoming denser and heavier? Repulsive, horrifying notion), alcohol units 4 (excellent), cigarettes 21 (poor but will give up totally tomorrow), number of correct lottery numbers 2 (better, but nevertheless useless)...""

Bridget Jones' Diary is the devastatingly self-aware, laugh-out-loud daily chronicle of Bridget's permanent, doomed quest for self-improvement — a year in which she resolves to: reduce the circumference of each thigh by 1.5 inches, visit the gym three times a week not just to buy a sandwich, form a functional relationship with a responsible adult--and learn to program the VCR.

Over the course of the year, Bridget loses a total of 72 pounds but gains a total of 74. She remains, however, optimistic. 
--back cover",[8578518],"{'type': '/type/datetime', 'value': '2020-02-07T18:03:39.961306'}",9,/books/OL24952417M,[{'key': '/authors/OL38952A'}],bridgetjonessdia2001fiel,"['New York, USA']",[{'key': '/languages/eng'}],"x, 271 p. ;",{},['ia:bridgetjonessdia2001fiel'],"Originally published: 1st American ed. New York : Viking, 1998.",271.0,['9780141000190'],"{'type': '/type/datetime', 'value': '2011-08-11T03:44:38.820239'}",Movie Tie-In Edition (2),2001,['1023821435'],[{'key': '/works/OL547745W'}],{'key': '/type/edition'},9,['IA109014'],nyu,Helen Fielding,"['Bridget Jones, #1']","['Dieting for women', 'Publishing', 'English Diary novels', 'Single women', 'Fiction', 'Single people', 'Bridget Jones (Fictitious character)', 'Triangles (Interpersonal relations)', 'English Humous fiction', 'Dating (Social customs)', 'Office romance', 'Friendship', 'Women']",0141000198,0141000198,http://images.amazon.com/images/P/0141000198.01.LZZZZZZZ.jpg,Bridget Jones's Diary
6,8,Cause of death,['Berkley Books'],,"{'type': '/type/text', 'value': 'The mysterious death of diver Ted Eddings, an investigative reporter, and the murder of a morgue assistant driving her car lead medical examiner Kay Scarpetta, her niece, and police captain Pete Marino on the trail of a deadly supremacist group.'}",,"{'type': '/type/datetime', 'value': '2021-02-22T08:54:07.342171'}",7,/books/OL24951308M,[{'key': '/authors/OL6898642A'}],,['New York'],[{'key': '/languages/eng'}],356 p. ;,,['ia:causeofdeath00corn'],"{'type': '/type/text', 'value': ""Cause of death ends with page 332; pagination continues with preview of coming book, Hornet's nest.""}",356.0,['9780425158616'],"{'type': '/type/datetime', 'value': '2011-08-11T02:51:30.797128'}",,1997,['37525500'],[{'key': '/works/OL16051104W'}],{'key': '/type/edition'},7,['IA108715'],nyu,Patricia Cornwell,,"['Women detectives', 'Medical examiners (Law)', 'Kay Scarpetta (Fictitious character)', 'Fiction', 'Protected DAISY', 'Accessible book']",0425158616,0425158616,http://images.amazon.com/images/P/0425158616.01.LZZZZZZZ.jpg,Cause of Death
7,9,Tela Charlottae,['Harper & Row'],{'librarything': ['1590']},"Wilbur the pig is desolate when he discovers that he is destined to be the farmer's Christmas dinner until his spider friend, Charlotte decides to help him.",[-1],"{'type': '/type/datetime', 'value': '2018-02-25T17:22:32.615384'}",9,/books/OL2777826M,[{'key': '/authors/OL30250A'}],,"['New York, N.Y. USA']",[{'key': '/languages/lat'}],147 p. ;,{},,"{'type': '/type/text', 'value': '""Vocabular list"": p. 125-145.\r\n""Printed in a limited edition of 100 copies""--Verso t.p.'}",147.0,['9780064400558'],"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",,1985,['879625800'],[{'key': '/works/OL15392519W'}],{'key': '/type/edition'},9,,nyu,ab E.B. White scripta et ab Bernice L. Fox in sermonem Latinum conversa.,,"['Animals -- Fiction.', 'Fantasy.', 'Latin language materials.']",0064400557,0064400557,http://images.amazon.com/images/P/0064400557.01.LZZZZZZZ.jpg,Charlotte's Web (Trophy Newbery)
8,10,Cold Mountain,['Atlantic Monthly Press'],,"{'type': '/type/text', 'value': ""At the end of the Civil War, a wounded soldier walks home to his prewar sweetheart, and finds her struggling to rebuild her father's farm with the help of a young woman determined to teach the former Charleston belle the practicalities and harsh realities of surviving in the mountains of western North Carolina.""}",[6980484],"{'type': '/type/datetime', 'value': '2021-03-26T11:46:03.528658'}",18,/books/OL24935282M,[{'key': '/authors/OL220820A'}],coldmountainfraz00fraz,['New York'],[{'key': '/languages/eng'}],356 p. ;,,"['ia:coldmountainfraz00fraz', 'ia:coldmountainnove00fraz', 'ia:coldmountainnove00frazx', 'ia:coldmountainnov000fraz', 'ia:coldmountainnov100fraz', 'ia:coldmountainnove00fra_ynj', 'ia:coldmountainfra00fraz', 'marc:marc_openlibraries_phillipsacademy/PANO_FOR_IA_05072019.mrc:64518169:1524', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run02.mrc:151941017:3267', 'marc:marc_marygrove/marygrovecollegelibrary.full.D20191108.T213022.internetarchive2nd_REPACK.mrc:126359045:4587', 'marc:marc_marygrove/marygrovecollegelibrary.full.D20191108.T213022.internetarchive2nd_REPACK.mrc:126363632:4587', 'marc:marc_loc_2016/BooksAll.2016.part26.utf8:34437177:825']","{'type': '/type/text', 'value': 'Includes map on endpapers.\n\nNational Book Award for fiction.'}",356.0,"['9780871136794', '9781400077823']","{'type': '/type/datetime', 'value': '2011-08-08T02:29:15.223166'}",1st ed.,1998,['605239092'],[{'key': '/works/OL16033000W'}],{'key': '/type/edition'},18,['IA113601'],nyu,Charles Frazier,,"['Fiction', 'Love stories', 'Mountain life', 'Historical fiction', 'History']",0871136791,0871136791,http://images.amazon.com/images/P/0871136791.01.LZZZZZZZ.jpg,Cold Mountain
9,11,Coming home,"[""St. Martin's Paperbacks""]",,"{'type': '/type/text', 'value': 'Judith Dunbar comes of age while confronting her feelings about love and sadness and journeying back to her childhood home.'}",[8018675],"{'type': '/type/datetime', 'value': '2020-10-12T07:49:41.222640'}",3,/books/OL26338114M,[{'key': '/authors/OL7383345A'}],isbn_9780312958121,['New York'],[{'key': '/languages/eng'}],977 pages ;,,"['ia:isbn_9780312958121', 'bwb:9780312958121']","{'type': '/type/text', 'value': 'Originally published in hardcover.'}",977.0,['9780312958121'],"{'type': '/type/datetime', 'value': '2017-06-24T13:25:32.316866'}",St. Martin's paperbacks ed.,1996,['34997595'],[{'key': '/works/OL17738875W'}],{'key': '/type/edition'},3,,nyu,Rosamunde Pilcher,,"['World War (1939-1945) fast (OCoLC)fst01180924', 'World War, 1939-1945', 'Fiction']",0312958129,0312958129,http://images.amazon.com/images/P/0312958129.01.LZZZZZZZ.jpg,Coming Home
