,isbn_10,title,full_title,publishers,identifiers,subtitle,description,covers,physical_format,last_modified,latest_revision,key,authors,ocaid,publish_places,contributions,languages,pagination,classifications,source_records,notes,number_of_pages,isbn_13,created,edition_name,publish_date,copyright_date,oclc_numbers,works,type,revision,ia_box_id,publish_country,by_statement,series,first_sentence,dewey_decimal_class,lc_classifications,local_id,other_titles,subject_people,subject_places,subject_times,subjects,genres,lccn,table_of_contents,contributors,weight,physical_dimensions,subject_place,uri_descriptions,url,uris,ia_loaded_id,translated_from,work_titles,translation_of,subject_time,oclc_number,work_title,coverimage,location,links,openlibrary,language
0,['0451519841'],1984,,['New American Library'],"{'amazon': ['0451519841'], 'librarything': ['1472'], 'goodreads': ['5475']}",A Novel,"The year 1984 is finally upon us, and George Orewll's prophetic, nightmare vision in 1949 of the world we were becoming is timelier than ever. 1984 is still the great modern classic of ""Negative Utopia"" -- a startlingly original and powerful novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words.
--back cover",[8579187],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2020-02-10T13:16:18.020144'}",12,/books/OL7576829M,[{'key': '/authors/OL118077A'}],1984novelcommemo00geor,"['New York, USA']","['Walter Cronkite (Foreword)', 'Erich Fromm (Afterword)']",[{'key': '/languages/eng'}],268p.,{},['ia:1984novelcommemo00geor'],Signet Classic CE1984,268.0,['9780451519849'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",Commemorative Edition; 67th printing,1984,1983,['851312331'],[{'key': '/works/OL1168091W'}],{'key': '/type/edition'},12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,['0446610038'],1st to die,,['Warner Books'],"{'librarything': ['781886'], 'goodreads': ['87955']}",,,[6380446],,"{'type': '/type/datetime', 'value': '2020-08-27T21:27:19.049863'}",14,/books/OL22161685M,[{'key': '/authors/OL6812710A'}],1sttodi00patt,"['New York, NY']",,[{'key': '/languages/eng'}],471 p.,,"['marc:marc_laurentian/openlibrary.mrc:661671797:511', 'ia:1sttodie00patt', 'ia:1sttodi00patt', 'bwb:9780446610032']","{'type': '/type/text', 'value': '1'}",471.0,['9780446610032'],"{'type': '/type/datetime', 'value': '2008-11-07T18:37:34.624185'}",,2001,,,[{'key': '/works/OL167189W'}],{'key': '/type/edition'},14,['IA107115'],nyu,James Patterson.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,['0446612790'],2nd Chance,,['Vision'],"{'librarything': ['781879'], 'goodreads': ['228361']}",,,[287417],,"{'type': '/type/datetime', 'value': '2011-11-14T17:32:32.559817'}",10,/books/OL7537748M,"[{'key': '/authors/OL6812710A'}, {'key': '/authors/OL2631878A'}]",,,,[{'key': '/languages/eng'}],,,['amazon:0446612790:bl:3487705084:318639'],,432.0,['9780446612791'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"February 1, 2003",,,[{'key': '/works/OL167157W'}],{'key': '/type/edition'},10,,,,"[""Women's Murder Club (2)""]","{'type': '/type/text', 'value': 'ON A TUESDAY NIGHT, I found myself playing a game of crazy eights with three residents of the Hope Street Teen House.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,['0451203895'],4 Blondes,,['Signet'],"{'goodreads': ['56335'], 'librarything': ['10213']}",,,[292806],,"{'type': '/type/datetime', 'value': '2010-08-06T02:20:34.991623'}",6,/books/OL7574329M,[{'key': '/authors/OL388512A'}],,,,[{'key': '/languages/eng'}],,,,,384.0,['9780451203892'],"{'type': '/type/datetime', 'value': '2008-04-29T13:35:46.876380'}",,"July 30, 2002",,,[{'key': '/works/OL2663526W'}],{'key': '/type/edition'},6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,['0860074382'],84 Charing Cross Road / The Duchess of Bloomsbury Street,84 Charing Cross Road The duchess of Bloomsbury Street,['Futura'],{},,,"[10697439, 8004241]",,"{'type': '/type/datetime', 'value': '2021-03-11T06:52:40.739221'}",6,/books/OL26328038M,[{'key': '/authors/OL656011A'}],84charingcrossro00hele,['London'],"['Doel, Frank']",[{'key': '/languages/eng'}],220 pages ;,{},"['ia:84charingcrossro00hele', 'marc:OpenLibraries-Trent-MARCs/tier6.mrc:6039329:1058']",84 Charing Cross Road contains correspondence chiefly between Helene Hanff and Frank Doel.,220.0,['9780860074380'],"{'type': '/type/datetime', 'value': '2017-06-23T21:15:39.552206'}",,1976,,['10812593'],"[{'key': '/works/OL3738761W'}, {'key': '/works/OL15835907W'}]",{'key': '/type/edition'},6,,enk,Helene Hanff,,,"['817.52', '818.54']",['PS3515.A4853 Z54 1976'],"['urn:trent:APT-8739', 'urn:trent:0116404986394']","['Eighty-four Charing Cross Road', 'Duchess of Bloomsbury Street']","['Helene Hanff', 'Frank Doel']","['England', 'London', 'London (England)']",['20th century'],"['Marks & Co', 'Travel', 'Booksellers and bookselling', 'Description and travel', 'American Authors']",,,,,,,,,,,,,,,,,,,,,,
5,"['0446611867', '0446527785']",A bend in the road,,['Warner Books'],"{'librarything': ['50164'], 'goodreads': ['763231', '969943']}",,,[6312475],,"{'type': '/type/datetime', 'value': '2014-07-30T06:55:55.570554'}",9,/books/OL23245755M,[{'key': '/authors/OL19597A'}],bendinr00spar,['New York'],,[{'key': '/languages/eng'}],341 p.,,"['marc:CollingswoodLibraryMarcDump10-27-2008/Collingswood.out:27303429:2763', 'marc:marc_ithaca_college/ic_marc.mrc:182492147:914', 'ia:bendinr00spar']",,341.0,['9780446611862'],"{'type': '/type/datetime', 'value': '2009-05-29T11:22:00.937786'}",,2001,,,[{'key': '/works/OL54814W'}],{'key': '/type/edition'},9,,nyu,Nicholas Sparks.,,,,,,,,,,"['Traffic accident victims -- Family relationships -- Fiction', 'Hit-and-run drivers -- Fiction', 'Women teachers -- Fiction', 'Widowers -- Fiction', 'Sheriffs -- Fiction', 'Psychological fiction', 'Love stories', 'New Bern (N.C.) -- Fiction']",['Fiction'],['2001026419'],,,,,,,,,,,,,,,,,,,,
6,['0451183665'],A Case of Need,,['Signet'],"{'google': ['J8k2csBT-80C'], 'librarything': ['57176'], 'goodreads': ['50524764']}",,"Was it murder? Was it horrible botched surgery - accidental malpractice? Was someone in the great Boston medical center violating the Hippocratic oath? No one knows exactly...Only one doctor is willing to push his way through the mysterious maze of hidden medical data and shocking secrets to learn the truth. This explosive medical thriller by the bestselling author of ""Disclosure"" and ""Jurassic Park"" is vintage Michael Crichton - with the breathtaking brand of riveting suspense and authentic medical detail that has made him one of today's most fascinating writers.
--back cover",[8401179],Mass Market Paperback,"{'type': '/type/datetime', 'value': '2021-04-11T09:39:29.713174'}",14,/books/OL17189824M,[{'key': '/authors/OL5949173A'}],caseofneed00cric,"['New York, USA']",,[{'key': '/languages/eng'}],416p.,{},"['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:1334685621:465', 'ia:caseofneed00cric', 'ia:caseofneed00cric_0', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run02.mrc:128239864:1179']",US/UK/CAN,416.0,['9780451183668'],"{'type': '/type/datetime', 'value': '2008-09-27T22:19:37.171938'}",1st Signet printing (41),1990?,1968,"['801074321', '52808716']",[{'key': '/works/OL46903W'}],{'key': '/type/edition'},14,['IA112708'],xxu,"by Michael Crichton, writing as Jeffrey Hudson.",,,,,['urn:sfpl:31223063389424'],,,,,,,,"[{'level': 0, 'label': '', 'title': 'Monday, October 10\t11', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Tuesday, October 11\t141', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Wednesday, October 12\t235', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Thursday, October 13\t312', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Friday-Sunday, October 14-16\t388', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Postscript: Monday, October 17\t396', 'pagenum': ''}, {'level': 0, 'label': '', 'title': 'Appendices\t402', 'pagenum': ''}]","[{'name': 'Jeffrey Hudson', 'role': 'Author'}]",,,,,,,,,,,,,,,,,,
7,['1558743669'],"A Child Called ""It""",,['HCI'],"{'goodreads': ['60748'], 'librarything': ['8219521']}",One Child's Courage to Survive,,[785216],Paperback,"{'type': '/type/datetime', 'value': '2010-08-10T05:47:18.226258'}",6,/books/OL8607819M,[{'key': '/authors/OL2623454A'}],,,,[{'key': '/languages/eng'}],,,['amazon:1558743669:fl:402707000:260439'],,195.0,['9781558743663'],"{'type': '/type/datetime', 'value': '2008-04-30T08:14:56.482104'}",,"September 1, 1995",,,[{'key': '/works/OL262978W'}],{'key': '/type/edition'},6,,,,,"{'type': '/type/text', 'value': ""March 5, 1973, Daly City, California-I'm late.""}",,,,,,,,"['Child abuse', 'General', 'Biography/Autobiography', 'Biography', 'Personal Memoirs', 'Biography & Autobiography', 'Biography / Autobiography', 'Family relationships', 'Daly City', 'California', 'Abuse - General', 'Specific Groups - Special Needs', 'Self-Help / General', 'Abusive mothers', 'Pelzer, David J', 'Abused children', 'Children of alcoholics']",,,,,3.2 ounces,7.3 x 4.7 x 0.6 inches,,,,,,,,,,,,,,,,
8,['0679772677'],A  civil action,,['Vintage Books'],"{'librarything': ['35381'], 'goodreads': ['27397']}",,,"[421640, 6621232, -1]",,"{'type': '/type/datetime', 'value': '2020-11-25T11:50:01.939218'}",16,/books/OL618183M,[{'key': '/authors/OL222223A'}],civilactionharr00harr,['New York'],,[{'key': '/languages/eng'}],502 p. :,,"['ia:civilactionharr00harr', 'ia:civilaction00harr_0', 'marc:marc_openlibraries_phillipsacademy/PANO_FOR_IA_05072019.mrc:34190581:2819', 'marc:marc_openlibraries_sanfranciscopubliclibrary/sfpl_chq_2018_12_24_run02.mrc:144236356:2634', 'amazon:0679772677', 'marc:marc_loc_2016/BooksAll.2016.part25.utf8:209521575:1403']","{'type': '/type/text', 'value': 'Includes bibliographical references (p. [495]-500).\nOriginally published: New York : Random House, 1995.'}",502.0,,"{'type': '/type/datetime', 'value': '2008-04-01T03:28:50.625462'}",1st Vintage books ed.,1996,,,[{'key': '/works/OL1856373W'}],{'key': '/type/edition'},16,['IA122516'],nyu,Jonathan Harr.,,,,"['KF228.A7 H37 1996', 'KF228.A667 H37 1996']","['urn:phillips:31867002183734', 'urn:sfpl:31223072380653', 'urn:sfpl:31223072380661', 'urn:sfpl:31223091505553', 'urn:sfpl:31223091505546']",,,,,"['Anderson, Anne, 1936?-  -- Trials, litigation, etc', 'Schlichtmann, Jan', 'W.R. Grace & Co. -- Trials, litigation, etc', 'Trials (Toxic torts) -- Massachusetts -- Boston', 'Groundwater -- Pollution -- Law and legislation -- Massachusetts -- Woburn', 'Drinking water -- Contamination -- Massachusetts -- Woburn', 'Liability for water pollution damages -- Massachusetts -- Woburn']",,['96216241'],,,,,"['Massachusetts', 'Boston.', 'Woburn.']","['Contributor biographical information', 'Sample text', 'Publisher description']","['http://www.loc.gov/catdir/bios/random051/96216241.html', 'http://www.loc.gov/catdir/samples/random051/96216241.html', 'http://www.loc.gov/catdir/description/random0414/96216241.html']","['http://www.loc.gov/catdir/bios/random051/96216241.html', 'http://www.loc.gov/catdir/samples/random051/96216241.html', 'http://www.loc.gov/catdir/description/random0414/96216241.html']",,,,,,,,,,,,
9,['0671886665'],A Cry In The Night,,['Pocket'],"{'librarything': ['19989'], 'goodreads': ['853496']}",,,"[6639962, 409851]",Mass Market Paperback,"{'type': '/type/datetime', 'value': '2019-01-09T06:04:27.311857'}",10,/books/OL7667620M,[{'key': '/authors/OL22586A'}],cryinnightcla00clar,,,[{'key': '/languages/eng'}],,,"['amazon:0671886665:cf:2764232303:298188', 'ia:cryinnightcla00clar', 'ia:cryinnight00clar_0']",,352.0,['9780671886660'],"{'type': '/type/datetime', 'value': '2008-04-29T15:03:11.581851'}",,"December 1, 1993",,,[{'key': '/works/OL13065W'}],{'key': '/type/edition'},10,['IA126711'],,,,"{'type': '/type/text', 'value': 'It was obvious that the exhibition of paintings by Erich Krueger, the newly discovered Midwest artist, was a stunning success.'}",,,,,,,,"['Fantasy', 'Science fiction', 'Suspense', 'Fiction - Psychological Suspense', 'Fiction', 'Psychological', 'Fiction / General']",,,,,5.6 ounces,6.5 x 4.1 x 1 inches,,,,,,,,,,,,,,,,
